date,district,code_02_allergy_insect,code_06_breathing,code_09_cardiac_arrest,code_10_chest_pain,code_12_seizure,code_13_blood_sugar,code_17_falls,code_18_headache,code_19_heart_problems,code_20_heat_cold_exposure,code_28_stroke_tia,code_31_loss_of_consciousness,day_of_week,is_weekend,month,day_of_year,year,week_of_year,is_public_holiday,covid_flag,doy_sin,doy_cos
2022-12-19,Charlottenburg-Wilmersdorf,0.42857142857142855,16.0,1.4285714285714286,7.714285714285714,2.4285714285714284,0.8571428571428571,24.428571428571427,0.2857142857142857,7.571428571428571,0.42857142857142855,6.285714285714286,13.571428571428571,0,False,12,353,2022,51,0,0,-0.2091735056463563,0.9778785428342386
2022-12-19,Friedrichshain-Kreuzberg,0.5714285714285714,9.714285714285714,1.5714285714285714,5.142857142857143,3.7142857142857144,1.1428571428571428,11.142857142857142,0.7142857142857143,4.142857142857143,0.42857142857142855,2.4285714285714284,9.142857142857142,0,False,12,353,2022,51,0,0,-0.2091735056463563,0.9778785428342386
2022-12-19,Lichtenberg,0.2857142857142857,14.714285714285714,1.1428571428571428,3.4285714285714284,2.142857142857143,1.0,17.0,0.7142857142857143,6.0,0.2857142857142857,3.2857142857142856,13.571428571428571,0,False,12,353,2022,51,0,0,-0.2091735056463563,0.9778785428342386
2022-12-19,Marzahn-Hellersdorf,0.7142857142857143,14.0,1.2857142857142858,6.571428571428571,2.2857142857142856,1.2857142857142858,15.0,1.0,6.857142857142857,0.2857142857142857,3.2857142857142856,7.0,0,False,12,353,2022,51,0,0,-0.2091735056463563,0.9778785428342386
2022-12-19,Mitte,0.7142857142857143,22.428571428571427,2.142857142857143,9.142857142857142,3.5714285714285716,2.0,21.142857142857142,2.142857142857143,9.714285714285714,0.8571428571428571,3.857142857142857,18.285714285714285,0,False,12,353,2022,51,0,0,-0.2091735056463563,0.9778785428342386
2022-12-19,Neukölln,0.8571428571428571,19.571428571428573,1.7142857142857142,8.285714285714286,3.142857142857143,0.2857142857142857,16.714285714285715,1.0,5.428571428571429,0.42857142857142855,3.5714285714285716,11.571428571428571,0,False,12,353,2022,51,0,0,-0.2091735056463563,0.9778785428342386
2022-12-19,Pankow,0.8571428571428571,16.428571428571427,1.7142857142857142,6.285714285714286,2.7142857142857144,0.8571428571428571,18.714285714285715,0.5714285714285714,6.0,0.14285714285714285,2.5714285714285716,11.142857142857142,0,False,12,353,2022,51,0,0,-0.2091735056463563,0.9778785428342386
2022-12-19,Reinickendorf,0.2857142857142857,17.142857142857142,1.2857142857142858,5.571428571428571,2.0,0.7142857142857143,16.0,0.42857142857142855,4.714285714285714,0.14285714285714285,5.285714285714286,12.571428571428571,0,False,12,353,2022,51,0,0,-0.2091735056463563,0.9778785428342386
2022-12-19,Spandau,0.42857142857142855,15.571428571428571,1.5714285714285714,5.571428571428571,2.2857142857142856,0.5714285714285714,14.714285714285714,0.7142857142857143,3.857142857142857,0.0,4.142857142857143,9.571428571428571,0,False,12,353,2022,51,0,0,-0.2091735056463563,0.9778785428342386
2022-12-19,Steglitz-Zehlendorf,0.2857142857142857,14.714285714285714,1.1428571428571428,4.285714285714286,2.4285714285714284,1.0,17.857142857142858,0.14285714285714285,4.857142857142857,0.42857142857142855,2.857142857142857,11.142857142857142,0,False,12,353,2022,51,0,0,-0.2091735056463563,0.9778785428342386
2022-12-19,Tempelhof-Schöneberg,0.5714285714285714,16.142857142857142,1.8571428571428572,5.428571428571429,4.0,0.42857142857142855,21.0,0.2857142857142857,5.142857142857143,0.42857142857142855,3.7142857142857144,15.0,0,False,12,353,2022,51,0,0,-0.2091735056463563,0.9778785428342386
2022-12-19,Treptow-Köpenick,0.14285714285714285,16.857142857142858,1.4285714285714286,5.428571428571429,4.0,0.5714285714285714,17.857142857142858,0.5714285714285714,5.714285714285714,0.0,4.428571428571429,11.285714285714286,0,False,12,353,2022,51,0,0,-0.2091735056463563,0.9778785428342386
2022-12-20,Charlottenburg-Wilmersdorf,0.42857142857142855,17.714285714285715,1.4285714285714286,7.285714285714286,1.8571428571428572,1.0,24.142857142857142,0.2857142857142857,8.0,0.42857142857142855,6.571428571428571,13.714285714285714,1,False,12,354,2022,51,0,0,-0.1923215052390948,0.9813319716704276
2022-12-20,Friedrichshain-Kreuzberg,0.5714285714285714,10.571428571428571,1.1428571428571428,5.285714285714286,3.7142857142857144,0.7142857142857143,10.142857142857142,0.7142857142857143,4.0,0.14285714285714285,2.142857142857143,9.285714285714286,1,False,12,354,2022,51,0,0,-0.1923215052390948,0.9813319716704276
2022-12-20,Lichtenberg,0.2857142857142857,15.571428571428571,1.2857142857142858,3.7142857142857144,1.8571428571428572,1.0,17.714285714285715,1.0,6.428571428571429,0.2857142857142857,3.7142857142857144,13.285714285714286,1,False,12,354,2022,51,0,0,-0.1923215052390948,0.9813319716704276
2022-12-20,Marzahn-Hellersdorf,0.7142857142857143,14.0,1.0,7.142857142857143,2.2857142857142856,1.4285714285714286,14.571428571428571,0.8571428571428571,6.285714285714286,0.2857142857142857,3.142857142857143,7.0,1,False,12,354,2022,51,0,0,-0.1923215052390948,0.9813319716704276
2022-12-20,Mitte,0.42857142857142855,22.571428571428573,2.142857142857143,8.571428571428571,3.857142857142857,2.142857142857143,19.857142857142858,1.8571428571428572,9.571428571428571,0.5714285714285714,2.857142857142857,18.0,1,False,12,354,2022,51,0,0,-0.1923215052390948,0.9813319716704276
2022-12-20,Neukölln,1.0,18.857142857142858,2.0,7.428571428571429,2.857142857142857,0.42857142857142855,16.285714285714285,1.0,5.142857142857143,0.2857142857142857,3.7142857142857144,11.857142857142858,1,False,12,354,2022,51,0,0,-0.1923215052390948,0.9813319716704276
2022-12-20,Pankow,0.7142857142857143,15.857142857142858,1.8571428571428572,6.142857142857143,3.142857142857143,1.5714285714285714,17.0,0.5714285714285714,6.0,0.14285714285714285,2.5714285714285716,10.285714285714286,1,False,12,354,2022,51,0,0,-0.1923215052390948,0.9813319716704276
2022-12-20,Reinickendorf,0.42857142857142855,16.0,1.2857142857142858,5.0,1.8571428571428572,0.7142857142857143,14.857142857142858,0.8571428571428571,4.571428571428571,0.14285714285714285,5.0,12.142857142857142,1,False,12,354,2022,51,0,0,-0.1923215052390948,0.9813319716704276
2022-12-20,Spandau,0.5714285714285714,15.571428571428571,1.2857142857142858,5.714285714285714,2.4285714285714284,0.42857142857142855,13.714285714285714,1.0,3.7142857142857144,0.0,5.142857142857143,9.571428571428571,1,False,12,354,2022,51,0,0,-0.1923215052390948,0.9813319716704276
2022-12-20,Steglitz-Zehlendorf,0.2857142857142857,13.857142857142858,1.1428571428571428,4.285714285714286,2.142857142857143,1.0,18.142857142857142,0.2857142857142857,5.285714285714286,0.2857142857142857,3.142857142857143,10.857142857142858,1,False,12,354,2022,51,0,0,-0.1923215052390948,0.9813319716704276
2022-12-20,Tempelhof-Schöneberg,0.7142857142857143,17.285714285714285,2.142857142857143,5.285714285714286,3.857142857142857,0.5714285714285714,21.0,0.2857142857142857,6.428571428571429,0.2857142857142857,3.7142857142857144,14.142857142857142,1,False,12,354,2022,51,0,0,-0.1923215052390948,0.9813319716704276
